product_id,product_url,product_details,product_image_url
1,https://www.meesho.com/kurti/p/6pmfaa,Name:KURTI,https://images.meesho.com/images/products/405833698/qep56_512.webp
2,https://www.meesho.com/myra-superior-kurtis/p/5hbic8,Name:Myra Superior Kurtis,https://images.meesho.com/images/products/331421336/vc2f9_512.webp
3,https://www.meesho.com/aagam-petite-kurtis/p/4fkmbm,Name:Aagam Petite Kurtis,https://images.meesho.com/images/products/268020994/cynd4_512.webp
4,https://www.meesho.com/stylish-comfortable-kurtis-for-every-occasion-trendy-elegant-and-versatile-cotton-embroidered-designs-for-women/p/6lsw0l,"This single Cotton Kurta is a testament to understated elegance. Featuring a solid pattern and three-quarter sleeves, this piece is perfect for those who appreciate simplicity with a touch of class. The cotton fabric ensures comfort and breathability, making it suitable for all-day wear. Available in an extensive range of sizes from XS to 5XL, this kurta is designed to provide a flattering fit for all. The kurta's length is a standard 42 inches, offering modest coverage. The ornamentation is minimal, with a focus on the gold-toned detailing on the neckline and cuffs, which adds a subtle sparkle to the solid color. Crafted with pride in India, this kurta is a versatile addition to any wardrobe. Pair it with your favorite trousers or a chic skirt for a polished look.",https://images.meesho.com/images/products/399416853/3rmom_512.webp
5,https://www.meesho.com/mahi-creation-new-womens-cotton-a-line-kurti/p/3ydjyd,Name:Mahi Creation New Women's Cotton A-Line  Kurti,https://images.meesho.com/images/products/239137861/hkazt_512.webp
6,https://www.meesho.com/front-slit-georgette-kurti-black-dress-nayra-cut-kurti-black-western-kurti/p/4mr7p5,"Elevate your evening wardrobe with this chic black Georgette dress. The sleeveless design makes it a perfect choice for warmer weather or sophisticated indoor events. Its solid color offers a versatile canvas for accessorizing, while the single piece design ensures exclusivity. Available in multiple sizes with a uniform length of 48 inches, this dress is both stylish and comfortable. Made with love in India, it's a must-have for those seeking a blend of contemporary style and ease.",https://images.meesho.com/images/products/280085945/26rps_512.webp
7,https://www.meesho.com/fancy-long-flair-anarkali-type-kurti/p/4yjkzs,"Step into a world of sophistication with this black Georgette kurti, designed to offer a touch of elegance to your wardrobe. The three-quarter sleeves and self-design pattern exude a sense of grace, while the fancy long flair adds a dramatic twist to your look. Available in sizes S to XXL, this kurti is a single piece that promises a flattering fit for every body type. Its lightweight fabric ensures comfort and breathability, making it an ideal choice for any casual or semi-formal event. Proudly made in India, this kurti is a blend of traditional charm and contemporary fashion.",https://images.meesho.com/images/products/299885320/auqci_512.webp
8,https://www.meesho.com/mm-leherya-only-kurti/p/59bvfp,"This sleeveless striped kurti in a refreshing lime green hue is a perfect addition to your summer wardrobe. Crafted from comfortable rayon fabric, it offers a relaxed fit for all-day ease. The kurti features a straight fit with a single piece combo, making it a versatile choice for various occasions. Available in sizes S to XXL, it caters to a wide range of body shapes. The kurti's striped pattern adds a touch of playfulness, while its sleeveless design keeps you cool during warmer days. Proudly made in India, this kurti is ideal for both casual and semi-formal events.",https://images.meesho.com/images/products/318001381/pramb_512.webp
9,https://www.meesho.com/straight-kurti/p/3c6tw6,"This Printed Straight Kurti is a fusion of comfort and style, ideal for your everyday wardrobe. The rayon fabric ensures a soft touch and ease of wear throughout the day. With three-quarter sleeves, this kurti offers a versatile look that can transition from work to casual outings. The printed pattern is trendy and adds a playful element to the design. Offered as a single combo, it is available in a range of sizes to accommodate different body sizes. The straight fit_shape is sleek and modern, while the knee-length is perfect for a modest yet fashionable appearance. The stitch type is of superior quality, providing a well-constructed garment. Suitable for a variety of occasions, this kurti can be dressed up or down. The round neck design is simple yet elegant, and the teal color with geometric prints is both vibrant and appealing. Crafted in India, this kurti represents the blend of traditional prints with contemporary fashion sensibilities.",https://images.meesho.com/images/products/201872598/s89og_512.webp
10,https://www.meesho.com/flower-print-long-kurti-with-dupatta-no-bottomwear/p/68n5tv,Name:Flower Print Long Kurti With Dupatta (No Bottomwear),https://images.meesho.com/images/products/377314627/pr43w_512.webp
11,https://www.meesho.com/blushh-collection-womens-sweaters/p/6dkl7,Name:BLUSHH COLLECTION Women's Sweaters,https://images.meesho.com/images/products/10710907/009f5_512.webp
12,https://www.meesho.com/girls-stylish-woolen-hoody/p/66y6pq,Name:GIRLS STYLISH WOOLEN HOODY,https://images.meesho.com/images/products/374469758/irqla_512.webp
13,https://www.meesho.com/suits-sharts-1-sweaters/p/2z96zy,Name:Suits Sharts 1 Sweaters,https://images.meesho.com/images/products/180147886/cgiar_512.webp
14,https://www.meesho.com/pretty-graceful-women-sweaters/p/53hxuy,Name:Pretty Graceful Women Sweaters,https://images.meesho.com/images/products/308206762/5bebo_512.webp
15,https://www.meesho.com/fashionable-women-sweatshirts-black-zipper-front-open-sweaters-for-women-winter-wear/p/5wwh2c,"Name:Fashionable Women Sweatshirts , Black, zipper, front open, Sweaters for women, Winter Wear,",https://images.meesho.com/images/products/357593700/ykzol_512.webp
16,https://www.meesho.com/fancy-modern-women-sweaters/p/13cjmr,Name:Fancy Modern Women Sweaters,https://images.meesho.com/images/products/66090339/e9awm_512.webp
17,https://www.meesho.com/women-sweater-round-neck-women-sweater-pure-wool-best-for-casual-days-perfect-for-office-use-knitted-sweater-women-sweater-sweater/p/79ffi7,Name:Women sweater round neck  | Women sweater pure wool best for casual days perfect for office use | Knitted sweater | women sweater | sweater,https://images.meesho.com/images/products/439099711/xtnfi_512.webp
